,utterance,expected,predicted,score
355,Yes but not until late August. What was the price?,whatIntent_rent,unitAssignment,0.38001776
356,Came Saturday be back on Monday,unknown,unknown,0.6274131
357,which location are you with?,community_address,unknown,0.08236117
358,I would not feel safe letting my wife walk alone there.,unknown,unknown,0.36738497
359,That would be perfect,unknown,unknown,0.68950814
360,"Oh dang, what address was the other location? ",community_address,unknown,0.074955866
361,I thought y'all had other properties like you guys were connected?,unknown,unknown,0.6064374
362,The 6th would be perfect,unknown,unknown,0.560532
363,Im coming up from Southern California,unknown,unknown,0.5976125
364,That would be awesome,unknown,unknown,0.6504028
365,Sunday would work too :),tourBooking,unknown,0.3769585
366,Yeah that would be fine :),unknown,unknown,0.600133
367,"Okay awesome, thank you so much ",unknown,unknown,0.72638
368,Okay thank.  I apologize for not getting back to you quickly.  Moving is not fun when it's just you.,unknown,unknown,0.6261315
369,I just submitted the application,applicationProcess,unknown,0.122326754
370,"Yes, I submitted the application about 3 minutes ago ",applicationProcess,unknown,0.15092976
371,I like this property because it's only $765 I think dont quote me lol,tourBooking,unitAssignment,0.42288965
372,Then with all the other money I get and help from my dad I'll be able to afford everything :),unknown,unknown,0.38766566
373,Sometime this week and can you send me the address please,community_address,unknown,0.3113353
374,I prefer a place with a stove. I also am not bringing my car with me so Oakland will be a little far given my job in dogpatch,amenities,unknown,0.26762828
375,"I can come now, if you guys are ok",tourBooking,unknown,0.5015766
376,I will get in touch with you next week.,unknown,unknown,0.6250587
377,I currently live in NYC so would it be possible to schedule a viewing in a week or two? I'm planning to fly out to SF to view apartments,tourBooking,unknown,0.36170402
378,are viewings only available on weekdays?,tourBooking,tourBooking,0.148107
379,I have a application I will bring it tomorrow at 12:00,applicationProcess,unknown,0.35689887
380,Hi Ryan! Thanks for a prompt repsonse. I would like to schedule a tour. Do you have any availability on the upcoming friday?,tourBooking,tourBooking,0.34221464
381,Let me get back to you on that!,unknown,unknown,0.47718272
382,"Thanks! That sounds great!
Thursday works-I believe the time was 5pm on the listing?
",tourBooking,tourBooking,0.30814633
383,More information for right now please. If any move in special and total move in cost,moveInCost,unitAssignment,0.14467022
384,Um sure for tomorrow I have a bunch of tours tomorrow so I can let you know that whenever I'm done with those thank you,tourBooking,unknown,0.51582545
385,Hi Ryan. Thanks for reaching out! I am in LA and won't be able to come up to the Bay. I won't be moving until June and wanted to get a head start looking at buildings. I'd love to keep your contact and reach out in May if that's okay with you!,tourBooking,unknown,0.51387346
386,Yeah can I schedule a tour please,tourBooking,unknown,0.34685683
387,I need to know how much the studios go for?,whatIntent_rent,unknown,0.32494116
388,What time? When?,unknown,unknown,0.6607995
389,I will let you know later today what day is best for me thanks,unknown,unknown,0.5343001
390,"would we be able to come tonight, around 5pm?",tourBooking,tourBooking,0.3226065
391,What time?,unknown,unknown,0.647234
392,Can you tell me about the current promotion?,leasingOfficePromotion,tourBooking,0.0949422
393,"Yes, I was wondering what are you guys 2 bed rooms releasing for ?",whatIntent_rent,unitAssignment,0.438739
394,"Great!
I have to check my schedule to see when I can come, my daughter doesn't get out of school until 4pm Monday-Friday ",tourBooking,unknown,0.34223422
395,Thank you. Cam you please explain what the “move in/furniture cost reimbursement “ means?,unknown,unitAssignment,0.11164419
396,"Sorry, last question. What is the parking like for this building?",parking,unitAssignment,0.047229372
397,Hey there sorry for not getting back to you sooner. I'm exploring a few other options I expect to work out so I'll reach out if not,unknown,unknown,0.6293494
398,The rent for a studio is $1525 correct?,whatIntent_rent,unitAssignment,0.43146113
399,"Hy Ryan, I would like to schedule a tour on saturday at 4pm.",tourBooking,unknown,0.37720534
400,ok great! i had a quick question regarding income requirements is that something i could ask you?,incomeRequirement,unknown,0.15494484
401,ok great! thank you so much ryan,unknown,unknown,0.7114676
402,"Hello,This Is Lee. I Don't Remember Where Your Apartments Are Located, Perhaps Next Tuesday I Could Come To View The Apartments In Question?",tourBooking,unknown,0.3452339
403,hi ryan! i'd like to schedule a viewing for today,tourBooking,unknown,0.50693595
404,That would be awesome! Wednesday afternoon works best for me.,tourBooking,unknown,0.5263601
405,Hi which city is the property  located in?,community_address,unitAssignment,0.052884366
406,Where are you located,leaseOfficeDirection,unknown,0.2709226
407,Is it a video tour?,virtualTour,unknown,0.096392445
408,I'm in montana I'm looking for a place I can move into when I get down there,tourBooking,unknown,0.48084757
409,Where are your rentals,community_address,unitAssignment,0.09673852
410,Is this for chaseview apartments,unknown,unknown,0.15229811
411,That works perfectly for me,unknown,unknown,0.5930738
412,Yeah i want too,unknown,unknown,0.68852866
413,Sounds good. Thank you!!,unknown,unknown,0.70021516
414,What's the name of this apartment and location please .,community_address,tourBooking,0.066741295
415,What kind of rental,unknown,unknown,0.21811494
416,Location,community_address,unknown,0.4490148
417,"Ty sure, i will once im back ty again",unknown,unknown,0.68436474
418,That the one bedroom total move in $,moveInCost,unitAssignment,0.59503293
419,I I got to go my turn,unknown,unknown,0.6232538
420,Reposit,deposit,unknown,0.5005784
421,What's the deposit,deposit,unitAssignment,0.052878164
422,Hi is apt 28 available for 138 Hyde st?,unknown,unitAssignment,0.32163578
423,I would like to go ahead and apply for unit 28,applicationProcess,unknown,0.19024898
424,What are your requirements ?,applicationProcess,unknown,0.150541
425,I also wanted to know if it's rent controlled?,rentIncrementPolicy,unitAssignment,0.12478022
426,Ok online it says $1395,whatIntent_rent,unknown,0.36060408
427,Okay so may I see both the studio and 1 bedroom,tourBooking,unitAssignment,0.5661911
428,"Sorry for switching on you, but Thursday at 6 will actually work better for me! Thanks so much!",tourBooking,unknown,0.5684193
429,sounds great! thanks so much!,unknown,unknown,0.69244933
430,"Hi Ryan, yes I would like to schedule the tour for Thursday afternoon, ok?",tourBooking,unknown,0.43072578
431,"Sorry, actually 6pm works for me on Thursday ",tourBooking,unknown,0.5415653
432,The time on Thursday Mar 4 actually works,tourBooking,unknown,0.38061792
433,I can go right after the post one,unknown,unknown,0.33696735
434,Good,unknown,unknown,0.7500721
435,Yes please I would like to come for a tour . Ok great that's wonderful,tourBooking,unknown,0.5923047
436,Do you have 1 bedroom,unknown,unitAssignment,0.7198134
437,Price range 645-780,whatIntent_rent,unknown,0.44019428
438,Oh no I'll be at work until 5;30,unknown,unknown,0.6202631
439,I'm fill out the application and then let you know,applicationProcess,unknown,0.4848107
440,Thank you for reaching out to me I just set up an tour for the 13th,tourBooking,unknown,0.5235623
441,Hello. Sorry I'm currently in class (I'm a teacher),unknown,unknown,0.33653215
442,But yes I'd like to schedule a tour,tourBooking,unknown,0.34994632
443,6:30 would probably work best for me,tourBooking,unknown,0.56661016
444,Sounds good. Thanks,unknown,unknown,0.72367114
445,Melodie🧖‍♀️Kay🏇Hiller🤸I 🚶🏾‍♀️am🧖‍♀️63 Birthday is in 12 30 1957 to12 30 2020 was my birthday I get 800$Dollers🚶🏾‍♀️Brandi 🧖‍♀️Page🤸her🧖‍♀️bithday4 21 1995 is her birthday🤸she gets700$Dollers🧖‍♀️she about to be 26on4 21 2021,unknown,unitAssignment,0.382384
446,March 6th at 2:00pm works for me,tourBooking,unknown,0.50571144
447,"All sounds good, thank you!",unknown,unknown,0.7118571
448,That would be great,unknown,unknown,0.649142
449,Yes would it be possible to do a virtual tour tomorrow or Friday?,virtualTour,tourBooking,0.22262742
450,"Thanks, let do a video call your tomorrow at 6pm. ",virtualTour,unknown,0.40500748
451,Good morning. I'm available this Saturday March 6th at 3pm.,tourBooking,unknown,0.56759447
452,"Hi Ryan, is Marymount Iris the same as Iris garden? I came here, but apartment 3 is locked, both at 611 and 614 Iris street, cannot get through to Gwen ",unknown,unknown,0.23271815
453,Hey! I'm out of town rn but I got a link for the virtual tour. I asked about the pricing earlier because your colleague mentioned some special rates?,moveInCost,unitAssignment,0.20463766
454,Hello I have section 8,section8,unknown,0.22334142
455,Are u open Saturday,tourBooking,unknown,0.5173566
456,For the tour??,tourBooking,unknown,0.35934117
457,"If you would prefer to discuss the details by phone, I'll be available for calls later this evening. Looking forward to hearing back from you!",unknown,unknown,0.59715486
458,"I'll be available after 3:30 - 4pm, if that's alright",tourBooking,unknown,0.49807706
459,"Sounds good, thank you!",unknown,unknown,0.7073569
460,I'm available,unknown,unknown,0.6271434
461,Do you have other properties ?,unknown,tourBooking,0.037563324
462,I would like to schedule a tour tomorrow evening if it's possible. Around 6 o'clock,tourBooking,unknown,0.42889264
463,I'm at work right now. I'm available to talk tomorrow morning,unknown,unknown,0.55010724
464,That works for me.,unknown,unknown,0.6545935
465,How much for monthly rent again?,whatIntent_rent,unitAssignment,0.45036763
466,Thanks! Sure thing.,unknown,unknown,0.73736477
467,"Hi, can I visit the studio (1,175/mo) on Thuesday or Wednesday after 7pm?",tourBooking,tourBooking,0.30832008
468,Thank you so much!,unknown,unknown,0.7273868
469,Are you available this Sunday 12-3pm or next Thursday 11-3pm ? Those are my days off,tourBooking,tourBooking,0.31541854
470,My current place is a studio at 1600,unknown,unknown,0.39358833
471,And nothing included,unknown,unknown,0.48748428
472,Just the tour,tourBooking,unknown,0.55117005
473,I dont recall this address. I'm looking for in SF,unknown,unknown,0.5359371
474,Whats the total move in cost ect...,moveInCost,unitAssignment,0.5087724
475,12pm works fine,unknown,unknown,0.6337431
476,Sorry like I said I don't recall inquiring about that address. I only inquired about a 729 Jones St. building. I apologize if I did it by accident.,unknown,unknown,0.39932647
477,"Hi Ryan. Yes, do you have anything available next week 10-14?",tourBooking,tourBooking,0.32542494
478,"That's work for me, i will be there at 4:00",tourBooking,unknown,0.52210593
479,"hi ryan, thanks for reaching out. is there a virtual tour for the studio? thanks!",virtualTour,unknown,0.46250603
480,"Hello Ryan,
Yes, I would like to schedule a tour. Are there any time slots for tomorrow after 3.30 pm or for Sunday?",tourBooking,tourBooking,0.31675625
481,What's the current rent for a studio?,whatIntent_rent,unitAssignment,0.51168543
482,Yes i would like to,unknown,unknown,0.6540398
483,Hi I'm not available Saturday I work until 5:45,tourBooking,unknown,0.51941425
484,I work tomorrow,unknown,unknown,0.59463835
485,Can you send some photos of the unit?,amenities,unknown,0.25506145
486,these photos appear to be 1/2 bedrooms,amenities,unitAssignment,0.4457206
487,sf is to pricey for me thanks tho,moveInCost,unknown,0.47297052
488,trust me i cant afford nothing in the bay area unless i can be a maintenance man after i get off my job🤦🏾‍♂️😂🤣😂but thanks tho,unknown,unknown,0.47561628
489,"Hi Ryan 
Is it co living or separate?",amenities,unknown,0.29229015
490,Do yall work with eviction  and broken lease,evictionPolicy,unknown,0.1772488
491,What all documents would i need? to get approved?,applicationProcess,unknown,0.099836305
492,And what about the utilities ?,utility,unknown,0.076710664
493,"Hello Ryan, I would like to schedule for Tuesday's or Wednesday.",tourBooking,unknown,0.4152319
494,Yes. Do you offer virtual tours?,virtualTour,unknown,0.17927688
495,Can you tell me more about the Move In/ Furniture Cost reimbursement promotion?,moveInCost,unitAssignment,0.12985456
496,"Also, what leasing options do you offer?",leasePeriod,unitAssignment,0.09432532
497,"Hi, can I schedule a virtual tour? ",virtualTour,tourBooking,0.31035918
498,Friday from 6-7 would probably work best for me!,tourBooking,unknown,0.47040442
499,"Hello ,its Benji, I'm sorry to inform you but I'll have to cancel the appointment due to something out of my control occuring. Sorry",unknown,unknown,0.5139038
500,"Hey Ryan, thank you i am doing well and hoping the same for you. yes i would love to schedule a tour. when are you available?  ",tourBooking,unknown,0.4718521
501,"I would like to see the 2 bedroom place on Thursday, please.",tourBooking,unknown,0.31446183
502,"Hi I am, however I currently live in the Sacramento area so I would need to go next weekend if that's possible?",tourBooking,unknown,0.30674478
503,Do you schedule tours for the Jekyll building as well?,tourBooking,tourBooking,0.14919548
504,"Oh nevermind , sorry I just received your email ! I will complete that information & get it back to you soon ",unknown,unknown,0.5075934
505,"Thank you Ryan. Yes, it would be better if I could have a schedule. ",tourBooking,unknown,0.42507
506,"Yeah, I sure would. Thanks Ryan. Would 4pm work?",tourBooking,unknown,0.40929726
507,Could I actually see both the O'Farrell apartment and the Hyde apartment during the Saturday showings? It would be more convenient to see both places on the same day. I apologize for the confusion!,tourBooking,unknown,0.28025293
508,Yes I would like to schedule a tour but I also have a couple questions how long is the lease and how much is the rent?,tourBooking,unitAssignment,0.41799095
509,"Hi Ryan, thanks for reaching out so quickly! I am available to view the property on March 22nd at 11:30am.",tourBooking,unknown,0.43579033
510,I won’t be able to move in till May but I would love to do a virtual tour,virtualTour,tourBooking,0.26048967
511,am i booked?,tourBooking,tourBooking,0.10490394
512,Ok I will come today Mar 6:00PM up to  7:00 pm,tourBooking,unknown,0.50454193
513,Hi I've been there before and have seen the place,unknown,unknown,0.5162478
514,I submitted an application on Thursday and would like to check the status of it and see what else is needed,applicationProcess,tourBooking,0.22862156
515,As well as a guarantor,leaseGaurantor,unitAssignment,0.07427988
516,Hello. Sorry for the delay with responding. I can't seem to find the listing I responded to. Do you have any photos of the property you can send?,amenities,unknown,0.22809307
517,"Hello, I think I'm at the apartment. #33 was that right?",community_address,unknown,0.5390765
518,"Can you send me the address again, I'm not sure I have the right one",community_address,unknown,0.31228718
519,Ok thanks sounds good 👍,unknown,unknown,0.6938603
520,Okay thank you. Do you have any availability tomorrow after 4?,tourBooking,tourBooking,0.3176916
521,"Yes, hello Ryan, thank you for the quick reply! Sorry I can't answer the call at the moment but I would like to know what the max occupancy for the unit is? ",amenities,tourBooking,0.2508374
522,Hello! I unfortunately am still in school so I could only take a virtual tour but I would love to if possible,virtualTour,unknown,0.38439795
523,Hello! I'm at the apartment. I'm not sure where to go,community_address,unknown,0.5735169
524,Are you available tomorrow morning?,tourBooking,unknown,0.29953456
525,"Hi Ryan, Do you have 1br appartment for 6 months lease? What is the price?",whatIntent_rent,unitAssignment,0.5668905
526,I can't I clock up my work at 5 pm,unknown,unknown,0.37095642
527,How Mach is the price you have at tenderloin,whatIntent_rent,unitAssignment,0.46053833
528,Are pets allowed?,pet,unknown,0.04172965
529,"Hi Ryan, yes I would like to schedule a tour ",tourBooking,unknown,0.4235238
530,We didn't get a notification  or text or call  we waited for the tour but wasn't givin any information  how to do it,tourBooking,unknown,0.48708817
531,Hi Ryan. An emergency has come up and I will have to reschedule. Can I reach out to you at a later date that works better?,tourBooking,unknown,0.5169418
532,Yes I like idea went we can do ?,unknown,unknown,0.5164079
533,Oh ok yea I never got a link but i would like to do that,unknown,unknown,0.5166141
534,No thank you we signed a leased today with another property,unknown,unknown,0.22258507
535,"My job starts on the 12th so I would really prefer to find a place before then, so if there is anything I can provide please let me know!",unknown,unknown,0.44206348
536,I will be back in Southern California by then. I will be in Oakland tomorrow after 3pm and leaving Thursday afternoon,unknown,unknown,0.435127
537,Yes. Schedule a tour tomorrow,tourBooking,unknown,0.47483763
538,An earlier time please,unknown,unknown,0.59698045
539,No Thursday is fine but can it be an earlier time?,tourBooking,unknown,0.35798723
540,March 12 will do fine and thanks for asking I'm doing good I look forward to seeing the places the 12th,tourBooking,unknown,0.5721096
541,"Ok i will  come  tomorrow mar 09  2021 
6:00PM.",tourBooking,unknown,0.61341506
542,Unfortunately for both my roommate and I are students and cannot schedule a tour for tomorrow. Do you have any time on Wednesday 03/10 perhaps?,tourBooking,tourBooking,0.31704316
543,Wednesday work for u?,tourBooking,unknown,0.50070983
544,Are there virtual tours ?,virtualTour,unknown,0.11730239
545,Hi Ryan. I would like to schedule a tour. Is Wednesday afternoon or night works?,tourBooking,tourBooking,0.34398067
546," convenient time I can reach you after that, please let me know! Thank you!",unknown,unknown,0.56548315
547,"Hi Kelsey! I apologize for missing your calls yesterday. If you give me a time to reach out to you, that would be great! I get off work at 3:30 p.m. so whatever",unknown,unknown,0.5835179
548,Hey! Yup. I believe I booked a tour for Saturday. Did that come through on your end,tourBooking,unknown,0.37980494
549,Hello Ryan! Thank you for getting back to me! I would love to schedule a tour for this Friday or the following if you're available,tourBooking,unknown,0.4321429
550,Morning do you have some unit whit 2 beds?,amenities,unitAssignment,0.44170994
551,sounds good,unknown,unknown,0.7108807
552,I got a question I filled out my application,applicationProcess,tourBooking,0.11924066
553,Can we schedule an in person tour,tourBooking,tourBooking,0.17915499
554,"well i'm in denver, so i can't physically take a tour. i just saw the ad and would like more info",virtualTour,unknown,0.37929365
555,"Yes I would like to schedule at your, thanks for getting back to me. Is any time tomorrow available?",tourBooking,unknown,0.33408123
556,"Hey so the link provided in the email you sent to me was for a studio apartment. I not interested in that unit. I am interested in the 3 bedroom, apt  #312. Is this the unit you are planning to show me? Also the rent for this unit is $2,295/month correct?",whatIntent_rent,unitAssignment,0.4919199
557,"Thursday March 11th, 6:00PM-7:00PM works for me. ",tourBooking,unknown,0.5800039
558,"Hi Ryan, it was great. Thanks. 
I saw the 1 bedroom. ",unknown,unknown,0.54891217
559,I BR has the promo for for 2month free,leasingOfficePromotion,unknown,0.32921958
560,I was wondering if you have similar promo for a studio apt?,leasingOfficePromotion,tourBooking,0.0898509
561,"so it's $1,195 ??

what size is that loft space? would it fit a queen mattress?",amenities,unitAssignment,0.47814628
562,Can you call him and get back to me,unknown,unknown,0.46591786
563,He didn't call me  and i already send him voice mail,unknown,unknown,0.55002767
564,hello! i actually have some questions regarding utility prices and move in dates first,utility,unitAssignment,0.19626737
565,Do you have an earlier time,unknown,unknown,0.14243753
566,I like person tour,tourBooking,unknown,0.32113138
567,"Hi Ryan, thanks for responding! I would like to schedule a tour. I am free any time on Friday. ",tourBooking,unknown,0.43477333
568,Saturday 4:00pm should work for me,tourBooking,unknown,0.47509313
569,how much are they going for ??,whatIntent_rent,unitAssignment,0.39429858
570,and how long is the lease ?,unknown,unitAssignment,0.30857974
571,How much is the rent for one bedroom,whatIntent_rent,unitAssignment,0.71414524
572,206 sounds good,unknown,unknown,0.6745483
573,"The reason that I did not  schedule is because I saw no options for a viewing on Fridays, Can I do that?",tourBooking,tourBooking,0.23913056
574,Can I get the address of the apartment?,community_address,tourBooking,0.108922996
575,I live in alameda county. You can help ok thanks,unknown,unknown,0.6470774
576,Hi Ryan yes I would like to tour both locations.,tourBooking,unknown,0.48744372
577,Do you have any tours available the 23rd?,tourBooking,tourBooking,0.2863991
578,What are the utilities included?,utility,tourBooking,0.03463045
579,Saturday I'm not available,unknown,unknown,0.584934
580,I available on Thursday Mar 11  6:00-6:45 pm not Saturday,tourBooking,unknown,0.4336848
581,"It's a different building,  I'm sorry I thought you had access to all of the properties listed",unknown,unknown,0.24582675
582,"Yes,  perhaps later today or tomorrow.   ",unknown,unknown,0.5911896
583,Thank you Ryan! I was really hoping to come see it in person,tourBooking,unknown,0.6106131
584,I would but r u able to do a virtual your,virtualTour,unknown,0.4278484
585,hello can i see the estudio tomorrow like at 12 am,tourBooking,tourBooking,0.27251273
586,I am working at this time,unknown,unknown,0.41277152
587,Hey I had a Dr appointment via the phone that went east longer than expected. Could I possibly reschedule the viewing?,tourBooking,tourBooking,0.2397144
588,Sure. Sounds good,unknown,unknown,0.7278368
589,"That's a bit out of my price range but, thank you so much for reaching out to me. ",unknown,unknown,0.534925
590,Y eso como de k es,unknown,unknown,0.747625
591,Thanks Ryan! This property is ojt of my budget,unknown,unknown,0.48059252
592,"Hi, my apologies I am working at the moment. Unfortunately I'm going to have to cancel today's tour. I'm sorry for any inconvenience this causes. I hope to reach out at another time I'm available. Thanks for reaching out.",unknown,unknown,0.54245555
593,What about next Thursday?,tourBooking,unknown,0.31807566
594,Thank you so much for getting back to me! one of my house mates may be able to make that showing time! let me check in with them and get back to you,unknown,unknown,0.5117058
595,I'd love to! I'm relocating from Michigan - do you offer virtual tours?,virtualTour,tourBooking,0.22408228
596,Thank you! Will you have units in this building available for an early May move in?,unknown,tourBooking,0.101247
597,Yes do yall accept felons,misdemeanorPolicy,unknown,0.5154697
598,Thank you! I saw In the email that the studio is listed at $2500 but in real listing I saw it was $1345,whatIntent_rent,unitAssignment,0.30923882
